Buchungsdatum,Betrag,Währung,Buchungstext KURZ (nur grobe Info)
08.01.2015,0,EUR,"*Information gemäß VKrG per 07.01.2015* Sollzinsen: 11,00000 % Verzugszinsen: 6,00000 % Gestionspauschale: EUR 7,59 Ultimoprovision: 0,15000 % Ablebensrisikoprovision: 1,20000 % Eine Änderung der Konditionen kann entsprechend den in den Allgemeinen Geschäftsbedingungen enthaltenen Änderungsklauseln erfolgen."
13.02.2015,-9.04,EUR,Diverse (Bürobedarf und Kleinteile)
13.02.2015,-110.36,EUR,Strom
13.02.2015,-27.71,EUR,Diverse (Bürobedarf und Kleinteile)
20.02.2015,-15,EUR,Strom
25.02.2015,31481.3,EUR,sonstige Förderungen
05.03.2015,-26.96,EUR,Heizung
09.03.2015,-8,EUR,Strom
11.03.2015,31665,EUR,Förderung
24.03.2015,-100,EUR,Spende
24.03.2015,-100,EUR,Spende
24.03.2015,-450,EUR,Miete
24.03.2015,-1000,EUR,Spende
31.03.2015,0,EUR,*** Abschlussbuchung per 31.03.2015 **** Reklamationen bitte binnen 2 Monaten
31.03.2015,4.43,EUR,Zinsen
31.03.2015,-1.11,EUR,Kapialertragssteuer
31.03.2015,-20.58,EUR,Kontogebühr
31.03.2015,-2.37,EUR,Diverse (Bürobedarf und Kleinteile)
31.03.2015,-4.92,EUR,Kreditkarte
01.04.2015,-150,EUR,Miete
08.04.2015,-27,EUR,Heizung
09.04.2015,-23,EUR,Strom
04.05.2015,-150,EUR,Miete
05.05.2015,-143.54,EUR,"Druck (Druckkosten, Flyer Plakate)"
07.05.2015,-27,EUR,Heizung
11.05.2015,-23,EUR,Strom
11.05.2015,-1.15,EUR,Domains
12.05.2015,-78.05,EUR,Internet
01.06.2015,-150,EUR,Miete
05.06.2015,-1.15,EUR,Domains
08.06.2015,-23,EUR,Strom
25.06.2015,-211.65,EUR,Werbung (zB. Facebook)
25.06.2015,-504,EUR,Werbung (zB. Facebook)
25.06.2015,-1260,EUR,Werbung (zB. Facebook)
25.06.2015,-339,EUR,"Hardware (Tablet, Laptop)"
30.06.2015,0,EUR,*** Abschlussbuchung per 30.06.2015 **** Reklamationen bitte binnen 2 Monaten
30.06.2015,9.72,EUR,Zinsen
30.06.2015,-2.43,EUR,Kapialertragssteuer
30.06.2015,-21.34,EUR,Kontogebühr
30.06.2015,-7.56,EUR,Kreditkarte
