Buchungsdatum,Betrag,Währung,Buchungstext KURZ (nur grobe Info)
02.02.2016,1433.75,EUR,Förderung
03.02.2016,-600,EUR,Wirtschatfsprüfung
30.03.2016,-95.5,EUR,"Druck (Druckkosten, Flyer Plakate)"
31.03.2016,0,EUR,*** Abschlussbuchung per 31.03.2016 **** Reklamationen bitte binnen 2 Monaten
31.03.2016,0.12,EUR,Zinsen
31.03.2016,-0.03,EUR,Kapialertragssteuer
31.03.2016,-21.41,EUR,Kontogebühr
26.04.2016,0,EUR,Guthaben auf Girokonten und Spareinlagen sind gemäß Einlagensicherungs- und Anlegerentschädigungsgesetz erstattungsfähig. Nähere Informationen dazu entnehmen Sie bitte dem 'Informationsbogen für den Einleger' - abholbereit in jeder Filiale bzw. abrufbar unter: www.erstebank.at/einlagensicherung und www.sparkasse.at/einlagensicherung.
03.05.2016,1433.75,EUR,Förderung
03.05.2016,-600,EUR,Wirtschatfsprüfung
30.06.2016,0,EUR,*** Abschlussbuchung per 30.06.2016 **** Reklamationen bitte binnen 2 Monaten
30.06.2016,0.14,EUR,Zinsen
30.06.2016,-0.04,EUR,Kapialertragssteuer
30.06.2016,-20.98,EUR,Kontogebühr
02.08.2016,1433.75,EUR,Förderung
30.09.2016,0,EUR,*** Abschlussbuchung per 30.09.2016 **** Reklamationen bitte binnen 2 Monaten
30.09.2016,0.17,EUR,Zinsen
30.09.2016,-0.04,EUR,Kapialertragssteuer
30.09.2016,-20.8,EUR,Kontogebühr
28.10.2016,-396,EUR,Schulung
02.11.2016,1433.75,EUR,Förderung
30.12.2016,0,EUR,*** Abschlussbuchung per 31.12.2016 **** Reklamationen bitte binnen 2 Monaten
30.12.2016,0.2,EUR,Zinsen
30.12.2016,-0.05,EUR,Kapialertragssteuer
30.12.2016,-20.98,EUR,Kontogebühr
