Buchungsdatum,Betrag,Währung,Buchungstext KURZ (nur grobe Info)
02.01.2018,-4.99,EUR,Domains
02.01.2018,-200,EUR,BürgerInnenbudget
09.01.2018,-35.88,EUR,Domains
29.01.2018,-23.88,EUR,Domains
31.01.2018,-4.99,EUR,Domains
01.02.2018,-200,EUR,BürgerInnenbudget
12.02.2018,-119.4,EUR,Domains
01.03.2018,-200,EUR,BürgerInnenbudget
02.03.2018,-4.99,EUR,Domains
14.03.2018,-23.88,EUR,Domains
30.03.2018,-37.92,EUR,Kontoführung
30.03.2018,-0.1,EUR,Kapitalertragsteuer
30.03.2018,0.38,EUR,Zinsen
03.04.2018,-200,EUR,BürgerInnenbudget
05.04.2018,-4.99,EUR,Domains
02.05.2018,-200,EUR,BürgerInnenbudget
03.05.2018,-4.99,EUR,Domains
04.05.2018,-1000,EUR,BürgerInnenbudget
07.05.2018,-23.88,EUR,Domains
01.06.2018,-4.99,EUR,Domains
01.06.2018,-200,EUR,BürgerInnenbudget
29.06.2018,-36.88,EUR,Kontoführung
29.06.2018,-0.09,EUR,Kapitalertragsteuer
29.06.2018,0.36,EUR,Zinsen
02.07.2018,-200,EUR,BürgerInnenbudget
04.07.2018,-28.87,EUR,Domains
01.08.2018,-4.99,EUR,Domains
01.08.2018,-200,EUR,BürgerInnenbudget
03.08.2018,-23.88,EUR,Domains
24.08.2018,-23.88,EUR,Domains
27.08.2018,-23.88,EUR,Domains
03.09.2018,-4.99,EUR,Domains
03.09.2018,-200,EUR,BürgerInnenbudget
28.09.2018,-37.37,EUR,Kontoführung
28.09.2018,-0.09,EUR,Kapitalertragsteuer
28.09.2018,0.34,EUR,Zinsen
01.10.2018,-200,EUR,BürgerInnenbudget
03.10.2018,-4.99,EUR,Domains
11.10.2018,-23.88,EUR,Domains
12.10.2018,-47.76,EUR,Domains
02.11.2018,-23.88,EUR,Domains
02.11.2018,-200,EUR,BürgerInnenbudget
02.11.2018,-4.99,EUR,Domains
07.11.2018,-47.76,EUR,Domains
03.12.2018,-4.99,EUR,Domains
03.12.2018,-200,EUR,BürgerInnenbudget
03.12.2018,-2340,EUR,BürgerInnenbudget
05.12.2018,-47.76,EUR,Domains
21.12.2018,-23.88,EUR,Domains
31.12.2018,-39.89,EUR,Kontoführung
31.12.2018,-0.08,EUR,Kapitalertragsteuer
31.12.2018,0.31,EUR,Zinsen
