Buchungsdatum,Betrag,Währung,Buchungstext KURZ (nur grobe Info)
31.03.2015,1557.51,EUR,Altes Konto
31.03.2015,0,EUR,*** Abschlussbuchung per 31.03.2015 **** Reklamationen bitte binnen 2 Monaten
31.03.2015,-19.75,EUR,Kontogebühr
02.04.2015,29.28,EUR,Mitgliedsbeiträge
02.04.2015,29.56,EUR,Mitgliedsbeiträge
21.04.2015,-150,EUR,"Gebühren Abgaben Stadt Graz (Wahlvorschlag, Infostände, Plakatständer)"
24.04.2015,-237.06,EUR,"Druck (Druckkosten, Flyer Plakate)"
29.04.2015,-390,EUR,"Gebühren Abgaben Stadt Graz (Wahlvorschlag, Infostände, Plakatständer)"
11.05.2015,-1.65,EUR,Domains
27.05.2015,66.44,EUR,Mitgliedsbeiträge
16.06.2015,19.03,EUR,Mitgliedsbeiträge
25.06.2015,-60.75,EUR,Werbung (zB. Facebook)
25.06.2015,-150,EUR,"Gebühren Abgaben Stadt Graz (Wahlvorschlag, Infostände, Plakatständer)"
30.06.2015,0,EUR,*** Abschlussbuchung per 30.06.2015 **** Reklamationen bitte binnen 2 Monaten
30.06.2015,0.09,EUR,Zinsen
30.06.2015,-0.02,EUR,Kapialertragssteuer
30.06.2015,-23.07,EUR,Kontogebühr
05.08.2015,-1.65,EUR,Domains
31.08.2015,-35.76,EUR,Domains
03.09.2015,-17.88,EUR,Domains
10.09.2015,52.45,EUR,Mitgliedsbeiträge
30.09.2015,0,EUR,*** Abschlussbuchung per 30.09.2015 **** Reklamationen bitte binnen 2 Monaten
30.09.2015,0.01,EUR,Zinsen
30.09.2015,-21.32,EUR,Kontogebühr
08.10.2015,-25.8,EUR,Transport (Taxi und Leihwagen)
08.10.2015,-9.2,EUR,Transport (Taxi und Leihwagen)
08.10.2015,-150,EUR,"Gebühren Abgaben Stadt Graz (Wahlvorschlag, Infostände, Plakatständer)"
08.10.2015,-195.14,EUR,Transport (Taxi und Leihwagen)
23.10.2015,66.03,EUR,Altes Konto
23.10.2015,118.37,EUR,Altes Konto
23.10.2015,57.52,EUR,Altes Konto
23.10.2015,63.17,EUR,Altes Konto
05.11.2015,-6.6,EUR,Domains
16.11.2015,-60,EUR,Mitgliedsbeiträge
16.11.2015,-80,EUR,Miete
24.11.2015,39.53,EUR,Mitgliedsbeiträge
31.12.2015,0,EUR,*** Abschlussbuchung per 31.12.2015 **** Reklamationen bitte binnen 2 Monaten
31.12.2015,-23.48,EUR,Kontogebühr
10.02.2016,-17.88,EUR,Domains
31.03.2016,0,EUR,*** Abschlussbuchung per 31.03.2016 **** Reklamationen bitte binnen 2 Monaten
31.03.2016,0.01,EUR,Zinsen
31.03.2016,-20.38,EUR,Kontogebühr
26.04.2016,0,EUR,Guthaben auf Girokonten und Spareinlagen sind gemäß Einlagensicherungs- und Anlegerentschädigungsgesetz erstattungsfähig. Nähere Informationen dazu entnehmen Sie bitte dem 'Informationsbogen für den Einleger' - abholbereit in jeder Filiale bzw. abrufbar unter: www.erstebank.at/einlagensicherung und www.sparkasse.at/einlagensicherung.
30.05.2016,-200,EUR,"Bildung, Veranstaltungen "
30.06.2016,0,EUR,*** Abschlussbuchung per 30.06.2016 **** Reklamationen bitte binnen 2 Monaten
30.06.2016,0.01,EUR,Zinsen
30.06.2016,-20.24,EUR,Kontogebühr
25.08.2016,-53.64,EUR,Domains
30.09.2016,0,EUR,*** Abschlussbuchung per 30.09.2016 **** Reklamationen bitte binnen 2 Monaten
30.09.2016,-20.39,EUR,Kontogebühr
03.11.2016,-11.88,EUR,Domains
30.12.2016,0,EUR,*** Abschlussbuchung per 31.12.2016 **** Reklamationen bitte binnen 2 Monaten
30.12.2016,-20.37,EUR,Kontogebühr
17.01.2017,341.28,EUR,Mitgliedsbeiträge
17.01.2017,0,EUR,Guthaben auf Girokonten und Spareinlagen sind gemäß Einlagensicherungs- und Anlegerentschädigungsgesetz erstattungsfähig. Nähere Informationen dazu entnehmen Sie bitte dem 'Informationsbogen für den Einleger' - abholbereit in jeder Filiale bzw. abrufbar unter: www.erstebank.at/einlagensicherung und www.sparkasse.at/einlagensicherung.
,,,
,,,0
,,,0
,,,0
,,,0
,,,0
,,,0
,,,0
,,,0
,,,0
,,,0
,,,0
,,,0
,,,0
,,,0
,,,0
,,,0
,,,0
,,,0
,,,0
,,,0
,,,0
,,,0
,,,0
,,,0
,,,0
,,,0
,,,0
,,,0
,,,0
